,track_name,track_id,track_popularity,artist_name,track_image_link,release_date
87,Always Late (With Your Kisses),QWx3YXlzIExhdGUgKFdpdGggWW91ciBLaXNzZXMpX0xlZnR5IEZyaXp6ZWxs,22,Lefty Frizzell,https://i.scdn.co/image/ab67616d0000b27328b206e252a4c4421721bee8,1950-01-01
88,Voy Gritando por la Calle,Vm95IEdyaXRhbmRvIHBvciBsYSBDYWxsZV9Tb25pYSBMb3Bleg==,39,Sonia Lopez,https://i.scdn.co/image/ab67616d0000b2732c779dfbc19f362ffc0c171b,1950-01-01
89,How D'Ya Like Your Eggs In The Morning,SG93IEQnWWEgTGlrZSBZb3VyIEVnZ3MgSW4gVGhlIE1vcm5pbmdfRGVhbiBNYXJ0aW7smbggMeuqhQ==,28,Dean Martin,https://i.scdn.co/image/ab67616d0000b2731888bb79ceb16b4db9210b8f,1951-01-01
90,Que Rico Mambo,UXVlIFJpY28gTWFtYm9fUMOpcmV6IFByYWRv,33,Pérez Prado,https://i.scdn.co/image/ab67616d0000b2739f58890e82b4032dffe07e4b,1950-11-26
91,Wealth Won't Save Your Soul,V2VhbHRoIFdvbid0IFNhdmUgWW91ciBTb3VsX0hhbmsgV2lsbGlhbXPsmbggMeuqhQ==,22,Hank Williams,https://i.scdn.co/image/ab67616d0000b273cf2da0cdda3bedfaf3a6fa38,1951-11-09
92,Rag Mop,UmFnIE1vcF9UaGUgQW1lcyBCcm90aGVycw==,25,The Ames Brothers,https://i.scdn.co/image/ab67616d0000b2736d030545d0bb6497ed3d7f3e,1950-11-26
93,The Naughty Lady of Shady Lane,VGhlIE5hdWdodHkgTGFkeSBvZiBTaGFkeSBMYW5lX1RoZSBBbWVzIEJyb3RoZXJz,25,The Ames Brothers,https://i.scdn.co/image/ab67616d0000b2736d030545d0bb6497ed3d7f3e,1950-11-26
94,Dominiqui,RG9taW5pcXVpX1RvbnkgTW90dG9sYSB5IFN1IE9ycXVlc3Rh,35,Tony Mottola y Su Orquesta,https://i.scdn.co/image/ab67616d0000b2732eb17c967cf3e36676ad988f,1950-05-26
95,Congoja,Q29uZ29qYV9MYSBTb25vcmEgU2FudGFuZXJh,33,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b2738a61c81e717075df6e7b389d,1950-01-01
96,I’ve Got the Sun in the Morning,SeKAmXZlIEdvdCB0aGUgU3VuIGluIHRoZSBNb3JuaW5nX0JldHR5IEh1dHRvbg==,20,Betty Hutton,https://i.scdn.co/image/ab67616d0000b2738125d6f25ffd8f3b7883a363,1950-05-17
97,I Love You a Thousand Ways,SSBMb3ZlIFlvdSBhIFRob3VzYW5kIFdheXNfTGVmdHkgRnJpenplbGw=,23,Lefty Frizzell,https://i.scdn.co/image/ab67616d0000b273b63dc75e1c598cbaebdace2d,1950-01-01
98,Zing-A Zing-A Zing Boom,WmluZy1BIFppbmctQSBaaW5nIEJvb21fRGVhbiBNYXJ0aW4=,27,Dean Martin,https://i.scdn.co/image/ab67616d0000b273950cac8aaeeabc0b441c5e91,1950-01-01
99,El Rinconcito,RWwgUmluY29uY2l0b19MYSBTb25vcmEgU2FudGFuZXJh,20,La Sonora Santanera,https://i.scdn.co/image/ab67616d0000b27366ac8dd456ffe26126dfc4f1,1950-01-01
100,I'm Working On a Road,SSdtIFdvcmtpbmcgT24gYSBSb2FkX0ZsYXR0ICYgU2NydWdncw==,21,Flatt & Scruggs,https://i.scdn.co/image/ab67616d0000b273120a9f67b60d402473f93868,1951-01-01
101,El Caballo Blanco,RWwgQ2FiYWxsbyBCbGFuY29fSm9zw6kgQWxmcmVkbyBKaW1lbmV6,20,José Alfredo Jimenez,https://i.scdn.co/image/ab67616d0000b273b63cad6a2ed5c4798de9575b,1950-01-01
102,Mood Indigo,TW9vZCBJbmRpZ29fRHVrZSBFbGxpbmd0b24=,23,Duke Ellington,https://i.scdn.co/image/ab67616d0000b2730516b8c74bb96592ac56c343,1951-01-01
103,Undecided,VW5kZWNpZGVkX1RoZSBBbWVzIEJyb3RoZXJz,24,The Ames Brothers,https://i.scdn.co/image/ab67616d0000b2736d030545d0bb6497ed3d7f3e,1950-11-26
104,Billy Boy,QmlsbHkgQm95X0FobWFkIEphbWFs,24,Ahmad Jamal,https://i.scdn.co/image/ab67616d0000b273176d16659efad0c1d1598aac,1951-01-01
